,Title,Topic Label,Accetpance,Difficulty,Frequency,Accepted,Submissions,Premium
559,559. Maximum Depth of N-ary Tree,"['Tree', 'Depth-First Search', '1+']",71.70%,Easy,21.0658%;,245K,341.9K,Y
560,560. Subarray Sum Equals K,"['Array', 'Hash Table', 'Prefix Sum']",43.70%,Medium,89.4621%;,945.1K,2.2M,Y
561,561. Array Partition,"['Array', 'Greedy', 'Sorting', '1+']",77.20%,Easy,39.0219%;,389.7K,505.1K,Y
562,562. Longest Line of Consecutive One in Matrix,"['Array', 'Dynamic Programming', 'Matrix']",50.20%,Medium,36.272%;,71.7K,142.8K,Y
563,563. Binary Tree Tilt,"['Tree', 'Depth-First Search', 'Binary Tree']",60.00%,Easy,17.8323%;,186.8K,311.6K,Y
564,564. Find the Closest Palindrome,"['Math', 'String']",21.90%,Hard,64.9585%;,37.5K,171.4K,Y
565,565. Array Nesting,"['Array', 'Depth-First Search']",56.40%,Medium,0%;,121.5K,215.5K,Y
566,566. Reshape the Matrix,"['Array', 'Matrix', 'Simulation']",62.90%,Easy,37.2097%;,334.2K,531.6K,Y
567,567. Permutation in String,"['Hash Table', 'Two Pointers', 'String', '1+']",44.40%,Medium,72.6879%;,625.6K,1.4M,Y
568,568. Maximum Vacation Days,"['Array', 'Dynamic Programming', 'Matrix']",45.00%,Hard,28.4803%;,35.8K,79.5K,Y
569,569. Median Employee Salary,['Database'],67.40%,Hard,12.232%;,34.1K,50.6K,Y
570,570. Managers with at Least 5 Direct Reports,['Database'],66.60%,Medium,9.64962%;,77.1K,115.7K,Y
571,571. Find Median Given Frequency of Numbers,['Database'],43.80%,Hard,0%;,24.3K,55.5K,Y
572,572. Subtree of Another Tree,"['Tree', 'Depth-First Search', '3+']",46.30%,Easy,37.9484%;,633.5K,1.4M,Y
573,573. Squirrel Simulation,"['Array', 'Math']",55.10%,Medium,0%;,17.9K,32.6K,Y
574,574. Winning Candidate,['Database'],59.80%,Medium,7.43296%;,55.8K,93.3K,Y
575,575. Distribute Candies,"['Array', 'Hash Table']",66.40%,Easy,20.6756%;,237.4K,357.3K,Y
576,576. Out of Boundary Paths,['Dynamic Programming'],44.30%,Medium,24.868%;,115.2K,260.3K,Y
577,577. Employee Bonus,['Database'],75.10%,Easy,0%;,70.9K,94.4K,Y
578,578. Get Highest Answer Rate Question,['Database'],41.00%,Medium,9.32972%;,47.9K,116.8K,Y
579,579. Find Cumulative Salary of an Employee,['Database'],45.50%,Hard,0%;,30.2K,66.4K,Y
580,580. Count Student Number in Departments,['Database'],58.60%,Medium,5.49016%;,58.9K,100.6K,Y
581,581. Shortest Unsorted Continuous Subarray,"['Array', 'Two Pointers', 'Stack', '3+']",36.40%,Medium,38.6452%;,298.9K,820.7K,Y
582,582. Kill Process,"['Array', 'Hash Table', 'Tree', '2+']",68.70%,Medium,33.5231%;,78.4K,114.1K,Y
583,583. Delete Operation for Two Strings,"['String', 'Dynamic Programming']",59.70%,Medium,34.4648%;,199.9K,334.7K,Y
584,584. Find Customer Referee,['Database'],69.40%,Easy,31.2554%;,287.3K,414.1K,Y
585,585. Investments in 2016,['Database'],52.20%,Medium,22.1031%;,39.1K,74.8K,Y
586,586. Customer Placing the Largest Number of Orders,['Database'],69.40%,Easy,24.3538%;,159.3K,229.7K,Y
587,587. Erect the Fence,"['Array', 'Math', 'Geometry']",52.20%,Hard,93.7538%;,53.6K,102.7K,Y
588,588. Design In-Memory File System,"['Hash Table', 'String', 'Design', '1+']",48.60%,Hard,81.7243%;,84K,172.8K,Y
589,589. N-ary Tree Preorder Traversal,"['Stack', 'Tree', 'Depth-First Search']",75.90%,Easy,14.0275%;,374.7K,493.6K,Y
590,590. N-ary Tree Postorder Traversal,"['Stack', 'Tree', 'Depth-First Search']",77.40%,Easy,7.61123%;,220.8K,285.2K,Y
591,591. Tag Validator,"['String', 'Stack']",37.20%,Hard,28.4803%;,12.9K,34.7K,Y
592,592. Fraction Addition and Subtraction,"['Math', 'String', 'Simulation']",52.40%,Medium,45.7869%;,32.1K,61.3K,Y
593,593. Valid Square,"['Math', 'Geometry']",44.00%,Medium,54.0316%;,96.5K,219.6K,Y
594,594. Longest Harmonious Subsequence,"['Array', 'Hash Table', 'Sorting']",53.50%,Easy,29.2859%;,132.6K,248K,Y
595,595. Big Countries,['Database'],70.70%,Easy,83.1005%;,583K,825.1K,Y
596,596. Classes More Than 5 Students,['Database'],47.90%,Easy,34.7103%;,235.4K,491.4K,Y
597,597. Friend Requests I: Overall Acceptance Rate,['Database'],42.50%,Easy,7.98907%;,67.6K,159.1K,Y
598,598. Range Addition II,"['Array', 'Math']",55.30%,Easy,37.055%;,88K,159.1K,Y
599,599. Minimum Index Sum of Two Lists,"['Array', 'Hash Table', 'String']",53.30%,Easy,27.1231%;,185.3K,347.8K,Y
600,600. Non-negative Integers without Consecutive Ones,['Dynamic Programming'],39.20%,Hard,49.8689%;,34K,86.9K,Y
601,601. Human Traffic of Stadium,['Database'],49.90%,Hard,36.6635%;,77.4K,155K,
602,602. Friend Requests II: Who Has the Most Friends,['Database'],61.10%,Medium,23.9635%;,56.7K,92.7K,Y
603,603. Consecutive Available Seats,['Database'],67.50%,Easy,9.64962%;,73.2K,108.4K,Y
604,604. Design Compressed String Iterator,"['Array', 'Hash Table', 'String', '2+']",39.50%,Easy,20.2551%;,29.3K,74.2K,Y
605,605. Can Place Flowers,"['Array', 'Greedy']",32.50%,Easy,43.1381%;,348.4K,1.1M,
606,606. Construct String from Binary Tree,"['String', 'Tree', 'Depth-First Search', '1+']",64.00%,Easy,30.9784%;,213.7K,334.1K,
607,607. Sales Person,['Database'],69.60%,Easy,32.4931%;,134.8K,193.7K,
608,608. Tree Node,['Database'],71.60%,Medium,39.4868%;,115.7K,161.6K,
609,609. Find Duplicate File in System,"['Array', 'Hash Table', 'String']",67.80%,Medium,75.203%;,143.6K,212K,
610,610. Triangle Judgement,['Database'],70.90%,Easy,0%;,60.1K,84.8K,Y
611,611. Valid Triangle Number,"['Array', 'Two Pointers', 'Binary Search', '2+']",50.50%,Medium,61.5307%;,166K,328.6K,
612,612. Shortest Distance in a Plane,['Database'],62.70%,Medium,11.4586%;,36K,57.4K,Y
613,613. Shortest Distance in a Line,['Database'],81.00%,Easy,0%;,61.9K,76.5K,Y
614,614. Second Degree Follower,['Database'],37.50%,Medium,21.5888%;,47K,125.4K,Y
615,615. Average Salary: Departments VS Company,['Database'],56.60%,Hard,0%;,31.6K,55.9K,Y
616,616. Add Bold Tag in String,"['Array', 'Hash Table', 'String', '2+']",48.80%,Medium,66.4786%;,82.1K,168.2K,Y
617,617. Merge Two Binary Trees,"['Tree', 'Depth-First Search', '2+']",78.60%,Easy,28.9632%;,670K,852K,
618,618. Students Report By Geography,['Database'],64.20%,Hard,12.6554%;,20.4K,31.8K,Y
619,619. Biggest Single Number,['Database'],49.80%,Easy,6.78199%;,59.9K,120.4K,Y
620,620. Not Boring Movies,['Database'],72.30%,Easy,16.0432%;,225.9K,312.4K,
621,621. Task Scheduler,"['Array', 'Hash Table', 'Greedy', '3+']",56.30%,Medium,66.7477%;,419.1K,744.7K,
622,622. Design Circular Queue,"['Array', 'Linked List', 'Design', '1+']",51.60%,Medium,64.9051%;,259.3K,502.6K,
623,623. Add One Row to Tree,"['Tree', 'Depth-First Search', '2+']",59.50%,Medium,61.7718%;,148.8K,250.2K,
624,624. Maximum Distance in Arrays,"['Array', 'Greedy']",41.80%,Medium,28.4803%;,36.9K,88.1K,Y
625,625. Minimum Factorization,"['Math', 'Greedy']",33.50%,Medium,34.9923%;,10.7K,31.8K,Y
626,626. Exchange Seats,['Database'],70.00%,Medium,38.4988%;,130.8K,187K,
627,627. Swap Salary,['Database'],83.10%,Easy,35.7438%;,329.2K,396.2K,
628,628. Maximum Product of Three Numbers,"['Array', 'Math', 'Sorting']",46.00%,Easy,58.1302%;,256.9K,558.8K,
629,629. K Inverse Pairs Array,['Dynamic Programming'],42.70%,Hard,55.2589%;,58K,136K,
630,630. Course Schedule III,"['Array', 'Greedy', 'Heap (Priority Queue)']",40.20%,Hard,28.511%;,101.2K,251.8K,
631,631. Design Excel Sum Formula,"['Graph', 'Design', 'Topological Sort']",43.50%,Hard,59.5121%;,13.6K,31.2K,Y
632,632. Smallest Range Covering Elements from K Lists,"['Array', 'Hash Table', 'Greedy', '3+']",61.00%,Hard,56.046%;,83.2K,136.5K,
633,633. Sum of Square Numbers,"['Math', 'Two Pointers', 'Binary Search']",34.40%,Medium,31.2003%;,166.8K,484.8K,
634,634. Find the Derangement of An Array,"['Math', 'Dynamic Programming']",42.00%,Medium,0%;,10.3K,24.6K,Y
635,635. Design Log Storage System,"['Hash Table', 'String', 'Design', '1+']",62.80%,Medium,50.2568%;,33.1K,52.7K,Y
636,636. Exclusive Time of Functions,"['Array', 'Stack']",61.20%,Medium,52.1936%;,187.9K,307.2K,
637,637. Average of Levels in Binary Tree,"['Tree', 'Depth-First Search', '2+']",71.80%,Easy,11.8575%;,383.9K,535.1K,
638,638. Shopping Offers,"['Array', 'Dynamic Programming', '4+']",53.30%,Medium,30.7903%;,52.1K,97.7K,
639,639. Decode Ways II,"['String', 'Dynamic Programming']",30.40%,Hard,21.7694%;,66.6K,219K,
640,640. Solve the Equation,"['Math', 'String', 'Simulation']",43.40%,Medium,19.1985%;,35.5K,81.9K,
641,641. Design Circular Deque,"['Array', 'Linked List', 'Design', '1+']",57.40%,Medium,10.6971%;,54.6K,95.2K,
642,642. Design Search Autocomplete System,"['String', 'Design', 'Trie', '1+']",48.60%,Hard,54.7192%;,128.6K,264.3K,Y
643,643. Maximum Average Subarray I,"['Array', 'Sliding Window']",43.70%,Easy,25.744%;,198.1K,453.1K,
644,644. Maximum Average Subarray II,"['Array', 'Binary Search', 'Prefix Sum']",35.90%,Hard,0%;,18.6K,51.9K,Y
645,645. Set Mismatch,"['Array', 'Hash Table', 'Bit Manipulation', '1+']",42.70%,Easy,63.0818%;,263.1K,615.4K,
646,646. Maximum Length of Pair Chain,"['Array', 'Dynamic Programming', 'Greedy', '1+']",56.50%,Medium,38.5906%;,132.1K,233.7K,
647,647. Palindromic Substrings,"['String', 'Dynamic Programming']",66.80%,Medium,55.4586%;,556K,832K,
648,648. Replace Words,"['Array', 'Hash Table', 'String', '1+']",62.70%,Medium,21.4467%;,116.8K,186.3K,
649,649. Dota2 Senate,"['String', 'Greedy', 'Queue']",40.60%,Medium,10.4515%;,23K,56.6K,
650,650. 2 Keys Keyboard,"['Math', 'Dynamic Programming']",53.40%,Medium,21.0977%;,114.6K,214.7K,
651,651. 4 Keys Keyboard,"['Math', 'Dynamic Programming']",54.60%,Medium,0%;,23.8K,43.5K,Y
652,652. Find Duplicate Subtrees,"['Hash Table', 'Tree', 'Depth-First Search', '1+']",59.00%,Medium,65.2281%;,228.2K,387.1K,
653,653. Two Sum IV - Input is a BST,"['Hash Table', 'Two Pointers', 'Tree', '4+']",61.00%,Easy,54.2192%;,445.5K,730K,
654,654. Maximum Binary Tree,"['Array', 'Divide and Conquer', 'Stack', '3+']",84.70%,Medium,15.1263%;,250.2K,295.3K,
655,655. Print Binary Tree,"['Tree', 'Depth-First Search', '2+']",61.90%,Medium,42.6099%;,58.9K,95.1K,
656,656. Coin Path,"['Array', 'Dynamic Programming']",31.80%,Hard,0%;,13.3K,41.9K,Y
657,657. Robot Return to Origin,"['String', 'Simulation']",75.30%,Easy,28.8353%;,364.7K,484.2K,
658,658. Find K Closest Elements,"['Array', 'Two Pointers', 'Binary Search', '3+']",46.80%,Medium,78.2345%;,421.9K,901.3K,
659,659. Split Array into Consecutive Subsequences,"['Array', 'Hash Table', 'Greedy', '1+']",50.80%,Medium,43.3256%;,122.2K,240.6K,
660,660. Remove 9,['Math'],57.30%,Hard,0%;,10.2K,17.8K,Y
661,661. Image Smoother,"['Array', 'Matrix']",55.40%,Easy,30.9402%;,71.6K,129.3K,
662,662. Maximum Width of Binary Tree,"['Tree', 'Depth-First Search', '2+']",40.70%,Medium,54.168%;,242K,594.2K,
663,663. Equal Tree Partition,"['Tree', 'Depth-First Search', 'Binary Tree']",41.40%,Medium,0%;,29.2K,70.6K,Y
664,664. Strange Printer,"['String', 'Dynamic Programming']",46.90%,Hard,39.8147%;,31.5K,67.3K,
665,665. Non-decreasing Array,['Array'],24.30%,Medium,32.7415%;,238K,980.7K,
666,666. Path Sum IV,"['Array', 'Tree', 'Depth-First Search', '1+']",59.50%,Medium,53.6394%;,21.4K,36K,Y
667,667. Beautiful Arrangement II,"['Array', 'Math']",59.80%,Medium,19.1985%;,50.3K,84K,
668,668. Kth Smallest Number in Multiplication Table,"['Math', 'Binary Search']",51.50%,Hard,23.294%;,55.3K,107.6K,
669,669. Trim a Binary Search Tree,"['Tree', 'Depth-First Search', '2+']",66.40%,Medium,37.4581%;,262.2K,395K,
670,670. Maximum Swap,"['Math', 'Greedy']",47.90%,Medium,38.4002%;,192.4K,401.9K,
671,671. Second Minimum Node In a Binary Tree,"['Tree', 'Depth-First Search', 'Binary Tree']",44.10%,Easy,28.4803%;,166K,376.5K,
672,672. Bulb Switcher II,"['Math', 'Bit Manipulation', '2+']",50.70%,Medium,26.6969%;,19.2K,37.9K,
673,673. Number of Longest Increasing Subsequence,"['Array', 'Dynamic Programming', '2+']",42.80%,Medium,33.2498%;,140.6K,328.7K,
674,674. Longest Continuous Increasing Subsequence,['Array'],49.30%,Easy,34.2617%;,222.3K,451.2K,
675,675. Cut Off Trees for Golf Event,"['Array', 'Breadth-First Search', '2+']",34.10%,Hard,33.203%;,61.6K,180.9K,
676,676. Implement Magic Dictionary,"['Hash Table', 'String', 'Design', '1+']",57.00%,Medium,0%;,71.1K,124.9K,
677,677. Map Sum Pairs,"['Hash Table', 'String', 'Design', '1+']",56.80%,Medium,12.9025%;,101.8K,179.1K,
678,678. Valid Parenthesis String,"['String', 'Dynamic Programming', 'Stack', '1+']",34.10%,Medium,55.6699%;,201.6K,591.7K,
679,679. 24 Game,"['Array', 'Math', 'Backtracking']",49.20%,Hard,57.4651%;,70.5K,143.5K,
680,680. Valid Palindrome II,"['Two Pointers', 'String', 'Greedy']",39.30%,Easy,58.3097%;,582.9K,1.5M,
681,681. Next Closest Time,"['String', 'Enumeration']",46.40%,Medium,42.0456%;,101.5K,218.9K,Y
682,682. Baseball Game,"['Array', 'Stack', 'Simulation']",74.20%,Easy,54.074%;,241.1K,324.9K,
683,683. K Empty Slots,"['Array', 'Binary Indexed Tree', '2+']",37.00%,Hard,17.3991%;,58.9K,159.4K,Y
684,684. Redundant Connection,"['Depth-First Search', 'Breadth-First Search', '2+']",62.20%,Medium,44.0707%;,265.1K,426.2K,
685,685. Redundant Connection II,"['Depth-First Search', 'Breadth-First Search', '2+']",34.10%,Hard,19.8892%;,60.2K,176.5K,
686,686. Repeated String Match,"['String', 'String Matching']",34.20%,Medium,35.5963%;,137.3K,401.8K,
687,687. Longest Univalue Path,"['Tree', 'Depth-First Search', 'Binary Tree']",40.40%,Medium,37.9182%;,161.3K,399K,
688,688. Knight Probability in Chessboard,['Dynamic Programming'],52.10%,Medium,33.5734%;,93.6K,179.6K,
689,689. Maximum Sum of 3 Non-Overlapping Subarrays,"['Array', 'Dynamic Programming']",48.90%,Hard,17.6967%;,66.9K,136.7K,
690,690. Employee Importance,"['Hash Table', 'Depth-First Search', '1+']",65.50%,Medium,48.6076%;,191.9K,292.8K,
691,691. Stickers to Spell Word,"['Array', 'String', 'Dynamic Programming', '3+']",46.30%,Hard,29.1201%;,37.2K,80.5K,
692,692. Top K Frequent Words,"['Hash Table', 'String', 'Trie', '4+']",57.10%,Medium,69.0138%;,533K,933K,
693,693. Binary Number with Alternating Bits,['Bit Manipulation'],61.60%,Easy,43.223%;,110.8K,180K,
694,694. Number of Distinct Islands,"['Hash Table', 'Depth-First Search', '3+']",60.70%,Medium,56.5051%;,147.1K,242.3K,Y
695,695. Max Area of Island,"['Array', 'Depth-First Search', '3+']",71.80%,Medium,57.7264%;,689.9K,961.2K,
696,696. Count Binary Substrings,"['Two Pointers', 'String']",65.50%,Easy,56.1603%;,182.2K,278.1K,
697,697. Degree of an Array,"['Array', 'Hash Table']",55.90%,Easy,71.6205%;,177.6K,317.5K,
698,698. Partition to K Equal Sum Subsets,"['Array', 'Dynamic Programming', '4+']",40.10%,Medium,52.424%;,232.2K,579.5K,
699,699. Falling Squares,"['Array', 'Segment Tree', 'Ordered Set']",44.50%,Hard,16.6236%;,22.7K,51K,
700,700. Search in a Binary Search Tree,"['Tree', 'Binary Search Tree', 'Binary Tree']",77.60%,Easy,20.3853%;,620.3K,799.2K,
701,701. Insert into a Binary Search Tree,"['Tree', 'Binary Search Tree', 'Binary Tree']",74.30%,Medium,21.8846%;,397K,534K,
702,702. Search in a Sorted Array of Unknown Size,"['Array', 'Binary Search', 'Interactive']",71.50%,Medium,30.3128%;,85.8K,120K,Y
703,703. Kth Largest Element in a Stream,"['Tree', 'Design', 'Binary Search Tree', '3+']",55.50%,Easy,36.1579%;,341K,614.7K,
704,704. Binary Search,"['Array', 'Binary Search']",55.50%,Easy,82.6064%;,1.6M,2.9M,
705,705. Design HashSet,"['Array', 'Hash Table', 'Linked List', '2+']",65.60%,Easy,42.0321%;,278.5K,424.3K,
706,706. Design HashMap,"['Array', 'Hash Table', 'Linked List', '2+']",64.70%,Easy,63.9862%;,402.2K,621.4K,
707,707. Design Linked List,"['Linked List', 'Design']",27.60%,Medium,38.3061%;,250.3K,906.3K,
708,708. Insert into a Sorted Circular Linked List,['Linked List'],34.50%,Medium,47.3848%;,129.3K,374.5K,Y
709,709. To Lower Case,['String'],82.30%,Easy,24.8418%;,409.8K,497.9K,
710,710. Random Pick with Blacklist,"['Array', 'Hash Table', 'Math', '3+']",33.50%,Hard,20.2551%;,35.8K,106.7K,
711,711. Number of Distinct Islands II,"['Hash Table', 'Depth-First Search', '3+']",51.90%,Hard,44.195%;,9.3K,17.8K,Y
712,712. Minimum ASCII Delete Sum for Two Strings,"['String', 'Dynamic Programming']",62.50%,Medium,18.7129%;,74.9K,119.8K,
713,713. Subarray Product Less Than K,"['Array', 'Sliding Window']",45.70%,Medium,57.0715%;,221.3K,484.5K,
714,714. Best Time to Buy and Sell Stock with Transaction Fee,"['Array', 'Dynamic Programming', 'Greedy']",65.10%,Medium,38.4311%;,220.1K,338.3K,
715,715. Range Module,"['Design', 'Segment Tree', 'Ordered Set']",44.60%,Hard,62.9272%;,57.4K,128.5K,
716,716. Max Stack,"['Linked List', 'Stack', 'Design', '2+']",45.20%,Hard,71.6224%;,140.6K,310.9K,Y
717,717. 1-bit and 2-bit Characters,['Array'],45.70%,Easy,28.329%;,115.9K,253.4K,
718,718. Maximum Length of Repeated Subarray,"['Array', 'Binary Search', '4+']",51.30%,Medium,85.6565%;,259K,505K,
719,719. Find K-th Smallest Pair Distance,"['Array', 'Two Pointers', 'Binary Search', '1+']",36.70%,Hard,40.2778%;,74.1K,202.1K,
720,720. Longest Word in Dictionary,"['Array', 'Hash Table', 'String', '2+']",51.90%,Medium,29.0472%;,134.5K,258.9K,
721,721. Accounts Merge,"['Array', 'String', 'Depth-First Search', '2+']",56.30%,Medium,66.533%;,302.7K,537.2K,
722,722. Remove Comments,"['Array', 'String']",38.20%,Medium,80.345%;,64K,167.4K,
723,723. Candy Crush,"['Array', 'Two Pointers', 'Matrix', '1+']",76.60%,Medium,63.2576%;,63.2K,82.5K,Y
724,724. Find Pivot Index,"['Array', 'Prefix Sum']",54.50%,Easy,62.9341%;,774.9K,1.4M,
725,725. Split Linked List in Parts,['Linked List'],57.20%,Medium,49.6993%;,111.6K,195.2K,
726,726. Number of Atoms,"['Hash Table', 'String', 'Stack', '1+']",52.10%,Hard,64.3249%;,52.4K,100.6K,
727,727. Minimum Window Subsequence,"['String', 'Dynamic Programming', '1+']",42.90%,Hard,41.9109%;,82.8K,193.3K,Y
728,728. Self Dividing Numbers,['Math'],77.80%,Easy,24.614%;,201.6K,258.9K,
729,729. My Calendar I,"['Binary Search', 'Design', 'Segment Tree', '1+']",56.90%,Medium,61.4212%;,252.9K,444.6K,
730,730. Count Different Palindromic Subsequences,"['String', 'Dynamic Programming']",44.70%,Hard,60.8039%;,32.4K,72.4K,
731,731. My Calendar II,"['Binary Search', 'Design', 'Segment Tree', '1+']",55.00%,Medium,46.2424%;,89.1K,161.9K,
732,732. My Calendar III,"['Binary Search', 'Design', 'Segment Tree', '1+']",71.50%,Hard,64.5685%;,83K,116K,
733,733. Flood Fill,"['Array', 'Depth-First Search', '2+']",61.80%,Easy,65.2716%;,684.2K,1.1M,
734,734. Sentence Similarity,"['Array', 'Hash Table', 'String']",44.00%,Easy,15.2639%;,60K,136.4K,Y
735,735. Asteroid Collision,"['Array', 'Stack']",44.40%,Medium,70.0342%;,260.8K,587.2K,
736,736. Parse Lisp Expression,"['Hash Table', 'String', 'Stack', '1+']",51.60%,Hard,60.8561%;,20.1K,39K,
737,737. Sentence Similarity II,"['Array', 'Hash Table', 'String', '3+']",49.00%,Medium,44.195%;,65.1K,132.8K,Y
738,738. Monotone Increasing Digits,"['Math', 'Greedy']",47.20%,Medium,33.203%;,44.4K,93.9K,
739,739. Daily Temperatures,"['Array', 'Stack', 'Monotonic Stack']",66.30%,Medium,72.687%;,587.8K,886.5K,
740,740. Delete and Earn,"['Array', 'Hash Table', 'Dynamic Programming']",57.10%,Medium,47.6707%;,259.2K,454.1K,
741,741. Cherry Pickup,"['Array', 'Dynamic Programming', 'Matrix']",36.30%,Hard,37.8734%;,64.1K,176.7K,
742,742. Closest Leaf in a Binary Tree,"['Tree', 'Depth-First Search', '2+']",45.90%,Medium,26.6969%;,41.9K,91.2K,Y
743,743. Network Delay Time,"['Depth-First Search', 'Breadth-First Search', '3+']",51.80%,Medium,34.6487%;,364.8K,704.1K,
744,744. Find Smallest Letter Greater Than Target,"['Array', 'Binary Search']",45.70%,Easy,25.0387%;,283K,619.7K,
745,745. Prefix and Suffix Search,"['Hash Table', 'String', 'Design', '1+']",41.30%,Hard,42.3985%;,89.4K,216.6K,
746,746. Min Cost Climbing Stairs,"['Array', 'Dynamic Programming']",63.10%,Easy,43.8458%;,775.1K,1.2M,
747,747. Largest Number At Least Twice of Others,"['Array', 'Sorting']",47.00%,Easy,10.6401%;,198.1K,420.9K,
748,748. Shortest Completing Word,"['Array', 'Hash Table', 'String']",59.20%,Easy,6.9361%;,60K,101.3K,
749,749. Contain Virus,"['Array', 'Depth-First Search', '3+']",51.10%,Hard,42.122%;,10.2K,20.1K,
750,750. Number Of Corner Rectangles,"['Array', 'Math', 'Dynamic Programming', '1+']",67.50%,Medium,21.4467%;,37.1K,55K,Y
751,751. IP to CIDR,"['String', 'Bit Manipulation']",54.50%,Medium,80.1276%;,17.7K,32.5K,Y
752,752. Open the Lock,"['Array', 'Hash Table', 'String', '1+']",55.60%,Medium,46.7599%;,197.8K,355.6K,
753,753. Cracking the Safe,"['Depth-First Search', 'Graph', 'Eulerian Circuit']",55.80%,Hard,53.6394%;,52.3K,93.8K,
754,754. Reach a Number,"['Math', 'Binary Search']",42.70%,Medium,41.544%;,45.3K,105.9K,
755,755. Pour Water,"['Array', 'Simulation']",46.40%,Medium,76.1149%;,34.7K,74.9K,Y
756,756. Pyramid Transition Matrix,"['Bit Manipulation', 'Depth-First Search', '1+']",52.70%,Medium,18.2526%;,30K,57K,
757,757. Set Intersection Size At Least Two,"['Array', 'Greedy', 'Sorting']",43.80%,Hard,77.3023%;,19K,43.3K,
758,758. Bold Words in String,"['Array', 'Hash Table', 'String', '2+']",50.80%,Medium,0%;,17.8K,35K,Y
759,759. Employee Free Time,"['Array', 'Sorting', 'Heap (Priority Queue)']",71.80%,Hard,57.4686%;,130.5K,181.8K,Y
760,760. Find Anagram Mappings,"['Array', 'Hash Table']",82.90%,Easy,0%;,88K,106.1K,Y
761,761. Special Binary String,"['String', 'Recursion']",60.20%,Hard,40.3369%;,14.9K,24.7K,
762,762. Prime Number of Set Bits in Binary Representation,"['Math', 'Bit Manipulation']",68.00%,Easy,17.3991%;,80.9K,119K,
763,763. Partition Labels,"['Hash Table', 'Two Pointers', 'String', '1+']",79.70%,Medium,45.4307%;,457.3K,573.5K,
764,764. Largest Plus Sign,"['Array', 'Dynamic Programming']",48.30%,Medium,24.8146%;,52.5K,108.6K,
765,765. Couples Holding Hands,"['Greedy', 'Depth-First Search', '3+']",56.70%,Hard,20.6359%;,51.9K,91.5K,
766,766. Toeplitz Matrix,"['Array', 'Matrix']",68.60%,Easy,62.3151%;,273.1K,397.8K,
767,767. Reorganize String,"['Hash Table', 'String', 'Greedy', '3+']",52.90%,Medium,73.9747%;,258.6K,489.1K,
768,768. Max Chunks To Make Sorted II,"['Array', 'Stack', 'Greedy', '2+']",52.80%,Hard,69.2943%;,52.4K,99.1K,
769,769. Max Chunks To Make Sorted,"['Array', 'Stack', 'Greedy', '2+']",58.20%,Medium,60.6415%;,88.3K,151.7K,
770,770. Basic Calculator IV,"['Hash Table', 'Math', 'String', '2+']",55.90%,Hard,38.7718%;,9.2K,16.5K,
771,771. Jewels and Stones,"['Hash Table', 'String']",88.20%,Easy,49.0303%;,853.6K,968K,
772,772. Basic Calculator III,"['Math', 'String', 'Stack', '1+']",48.80%,Hard,66.8732%;,102.4K,209.7K,Y
773,773. Sliding Puzzle,"['Array', 'Breadth-First Search', 'Matrix']",64.10%,Hard,48.1408%;,83.7K,130.6K,
774,774. Minimize Max Distance to Gas Station,"['Array', 'Binary Search']",51.70%,Hard,20.2551%;,28.1K,54.3K,Y
775,775. Global and Local Inversions,"['Array', 'Math']",43.30%,Medium,25.4545%;,63.6K,146.8K,
776,776. Split BST,"['Tree', 'Binary Search Tree', 'Recursion', '1+']",73.30%,Medium,0%;,55.8K,76.2K,Y
777,777. Swap Adjacent in LR String,"['Two Pointers', 'String']",36.80%,Medium,40.8815%;,69K,187.2K,
778,778. Swim in Rising Water,"['Array', 'Binary Search', '5+']",59.80%,Hard,19.9117%;,114.2K,191K,
779,779. K-th Symbol in Grammar,"['Math', 'Bit Manipulation', 'Recursion']",41.30%,Medium,47.3624%;,111.1K,269.4K,
780,780. Reaching Points,['Math'],32.60%,Hard,90.6388%;,52.9K,162.2K,
781,781. Rabbits in Forest,"['Array', 'Hash Table', 'Math', '1+']",54.80%,Medium,31.5509%;,45K,82.1K,
782,782. Transform to Chessboard,"['Array', 'Math', 'Bit Manipulation', '1+']",51.70%,Hard,36.5316%;,15.8K,30.6K,
783,783. Minimum Distance Between BST Nodes,"['Tree', 'Depth-First Search', '3+']",59.30%,Easy,56.7648%;,209.7K,353.7K,
784,784. Letter Case Permutation,"['String', 'Backtracking', 'Bit Manipulation']",73.80%,Medium,34.6432%;,266.6K,361.4K,
785,785. Is Graph Bipartite?,"['Depth-First Search', 'Breadth-First Search', '2+']",53.10%,Medium,44.4732%;,390.9K,736.7K,
786,786. K-th Smallest Prime Fraction,"['Array', 'Binary Search', 'Sorting', '1+']",51.60%,Medium,7.09575%;,34.1K,66K,
787,787. Cheapest Flights Within K Stops,"['Dynamic Programming', '5+']",37.00%,Medium,62.0459%;,358.9K,969.8K,
788,788. Rotated Digits,"['Math', 'Dynamic Programming']",56.70%,Medium,25.1572%;,95.2K,167.9K,
789,789. Escape The Ghosts,"['Array', 'Math']",60.80%,Medium,16.6236%;,24.7K,40.6K,
790,790. Domino and Tromino Tiling,['Dynamic Programming'],52.90%,Medium,87.9369%;,93.2K,176.2K,
791,791. Custom Sort String,"['Hash Table', 'String', 'Sorting']",69.10%,Medium,39.6745%;,211K,305.2K,
792,792. Number of Matching Subsequences,"['Hash Table', 'String', 'Trie', '1+']",51.70%,Medium,29.2859%;,208K,402.8K,
